asset_id,lon,lat,occupancy_type,value,deductible,limit,construction_type,basement,floors
A00031,-1.1212382403067147,51.539955550236655,residential,500213.0,5002.0,500212.90397737094,concrete,1,2
A00032,-1.0540379056941998,51.29166726380361,residential,239498.0,2395.0,239498.15751433905,wood_frame,1,2
A00033,-1.1661157724867475,51.40202649402413,residential,138828.0,1388.0,138827.90077065857,concrete,1,1
A00034,-1.037501575978344,51.483147187748244,residential,332154.0,3322.0,332153.7046760797,masonry,0,1
A00035,-0.8957249155474561,51.276589726463286,commercial,1282766.0,12828.0,1282766.114757818,wood_frame,1,3
A00036,-0.969744230495518,51.38776871352786,residential,170513.0,1705.0,170512.71708290058,wood_frame,0,2
A00037,-1.039875054197712,51.45089635341484,residential,146932.0,1469.0,146931.60701191783,wood_frame,1,3
A00038,-0.9574374094782991,51.44562647666258,residential,265063.0,2651.0,265063.3920790492,concrete,1,1
A00039,-1.061970861244448,51.58593484395429,residential,319495.0,3195.0,319494.5324234584,wood_frame,0,2
A00040,-1.0984576678001101,51.54185358669568,residential,173232.0,1732.0,173232.35336110689,steel_frame,0,2
A00041,-1.0905466268295618,51.26957295689621,industrial,1349055.0,13491.0,1349054.7792779293,concrete,0,1
A00042,-1.0542789713914587,51.56162166001125,residential,194294.0,1943.0,194294.40804411864,wood_frame,0,3
A00043,-0.8424563196241872,51.445415363504054,commercial,610713.0,6107.0,610712.5449653487,steel_frame,1,2
A00044,-1.0860333298984741,51.49804696338731,residential,162178.0,1622.0,162177.96193189546,steel_frame,0,2
A00045,-0.8304877687972241,51.285590270731,residential,263804.0,2638.0,263803.6939411337,wood_frame,0,4
A00046,-0.8716670856970496,51.413512109856676,residential,222276.0,2223.0,222275.60924317336,concrete,1,1
A00047,-0.9685310566512185,51.50696548119186,residential,201161.0,2012.0,201160.7531115012,wood_frame,1,2
A00048,-0.9643263750802751,51.54695560194085,residential,105274.0,1053.0,105274.00986630558,wood_frame,0,2
A00049,-1.0225851781065165,51.550382673471844,commercial,1624603.0,16246.0,1624603.1672370157,wood_frame,0,3
A00050,-0.9702858708936282,51.309023864386035,residential,183560.0,1836.0,183559.5454788348,concrete,1,2
A00051,-0.9028882300385956,51.56141755293014,residential,240357.0,2404.0,240357.30724603237,masonry,1,1
A00052,-0.9777921658810135,51.45305516698233,residential,172013.0,1720.0,172012.9237830187,steel_frame,1,1
A00053,-0.8541851349973908,51.49416200331884,residential,285487.0,2855.0,285487.3919311408,wood_frame,0,3
A00054,-0.8557734488559038,51.56913644750811,industrial,911444.0,9114.0,911444.3725679261,steel_frame,1,2
A00055,-0.975735811887339,51.38624188668431,residential,259488.0,2595.0,259488.2158610252,masonry,1,1
A00056,-0.9618516147800966,51.597051382659714,industrial,1416730.0,14167.0,1416729.7897941843,steel_frame,0,3
A00057,-0.9894686426911802,51.58131455892447,residential,341705.0,3417.0,341705.3005227782,masonry,0,2
A00058,-0.9275040577413816,51.55117542448844,residential,174304.0,1743.0,174303.76067908108,concrete,1,2
A00059,-1.119826770080668,51.375776006831195,residential,202372.0,2024.0,202372.12416751153,wood_frame,1,2
A00060,-0.9504910206484263,51.43656476194448,residential,232340.0,2323.0,232339.68560865463,masonry,0,3
A00061,-0.9367874059280914,51.29097868466552,residential,505988.0,5060.0,505987.6776352885,concrete,0,1
A00062,-1.038933450034276,51.53134339366466,residential,153574.0,1536.0,153573.98818999386,wood_frame,0,1
A00063,-0.7715765884817073,51.585283218987755,residential,276917.0,2769.0,276917.2972344645,masonry,1,2
A00064,-1.0520400119465796,51.28594621077837,residential,201841.0,2018.0,201841.22757227786,wood_frame,1,1
A00065,-1.0380639480300853,51.52534634210685,residential,278739.0,2787.0,278738.80604869605,wood_frame,0,2
A00066,-0.9232652540389694,51.50460992676779,residential,312461.0,3125.0,312460.82417470106,wood_frame,1,2
A00067,-1.1505325348615136,51.234973765328064,residential,263253.0,2633.0,263252.52357767796,wood_frame,1,2
A00068,-1.072895922542066,51.59593991276569,residential,274146.0,2741.0,274145.8688735523,concrete,0,2
A00069,-1.1553587625330866,51.41645078060421,commercial,992376.0,9924.0,992375.952265697,steel_frame,0,1
A00070,-1.0802216962415971,51.3303634734999,residential,206320.0,2063.0,206320.04050797882,concrete,0,1
A00071,-0.9717935151079129,51.23237648516294,commercial,840767.0,8408.0,840766.8053322457,masonry,1,2
A00072,-0.9247037665478101,51.54055620911973,industrial,865784.0,8658.0,865783.6197551169,steel_frame,1,1
A00073,-0.8920809865863675,51.35849502494508,commercial,802485.0,8025.0,802485.2838414802,steel_frame,1,2
A00074,-0.9147597567908211,51.43053251594453,residential,194116.0,1941.0,194115.60564950746,wood_frame,0,1
A00075,-0.8440435850600692,51.29984307975106,industrial,1382765.0,13828.0,1382765.0875301505,steel_frame,1,4
A00076,-0.9088675182476156,51.46886916688399,residential,320894.0,3209.0,320893.7137415051,masonry,0,2
A00077,-1.0568002350857921,51.38286648429275,residential,285047.0,2850.0,285046.94123658043,masonry,0,2
A00078,-0.8507135367281329,51.55070615948849,residential,293575.0,2936.0,293574.96705989004,wood_frame,0,2
A00079,-1.0031307528957836,51.49319568468215,residential,362656.0,3627.0,362656.3953912572,masonry,0,1
A00080,-1.0117236495833357,51.51590888791346,residential,113089.0,1131.0,113088.53115261566,masonry,0,1
A00081,-0.8257190034838361,51.32297208096303,residential,289554.0,2896.0,289554.13214886666,wood_frame,0,2
A00082,-0.8743000504436285,51.246179168852876,commercial,895480.0,8955.0,895479.9361167005,steel_frame,1,1
A00083,-0.961364075869559,51.580783321781766,residential,242653.0,2427.0,242653.1962207916,wood_frame,1,1
A00084,-0.9238621323581213,51.60361658957374,residential,162034.0,1620.0,162033.70173964257,steel_frame,0,2
A00085,-0.8709204294587806,51.483835895806884,commercial,1084396.0,10844.0,1084396.384688944,concrete,0,1
A00086,-1.1315182681354496,51.59792176498402,residential,367856.0,3679.0,367855.69997347245,wood_frame,0,3
A00087,-0.9600394824288586,51.50958074162768,residential,353338.0,3533.0,353338.3364501236,masonry,1,1
A00088,-1.085819930632243,51.46838704052743,residential,243536.0,2435.0,243535.57078495712,masonry,0,1
A00089,-0.9981822475906114,51.39181068867352,residential,310193.0,3102.0,310193.2697969832,concrete,0,1
A00090,-1.0728056769314265,51.365800426061,residential,340989.0,3410.0,340988.66088218073,wood_frame,1,2
A00091,-0.8655679376865757,51.4207637097297,residential,460702.0,4607.0,460701.60563283996,wood_frame,1,1
A00092,-0.9180999708002002,51.3111996137258,residential,377480.0,3775.0,377479.72193466313,concrete,1,1
A00093,-1.0911594572567693,51.39534803300956,commercial,945753.0,9458.0,945753.4588761013,concrete,0,1
A00094,-0.9988041103734793,51.428133023807774,residential,258566.0,2586.0,258565.7799256298,masonry,0,1
A00095,-1.0796037283883988,51.23279702670327,commercial,953576.0,9536.0,953576.4262710426,steel_frame,1,3
A00096,-1.0060073121073634,51.381375201167124,industrial,1621477.0,16215.0,1621477.2348729644,steel_frame,1,1
A00097,-0.9340071947167776,51.33662694147283,commercial,763924.0,7639.0,763923.9210469016,masonry,0,2
A00098,-0.9345458359174018,51.480006911046985,commercial,1166902.0,11669.0,1166902.38436159,steel_frame,0,1
A00099,-1.156304969579835,51.552829689997104,residential,198769.0,1988.0,198768.76277899093,wood_frame,0,3
A00100,-0.9993019378776808,51.4719209399569,industrial,1149751.0,11498.0,1149751.238927341,steel_frame,0,1
A00101,-0.9041626568964223,51.49221773555768,residential,281943.0,2819.0,281943.06197706517,concrete,0,1
A00102,-0.9354072882985025,51.47169975872852,residential,206751.0,2068.0,206751.35820832528,steel_frame,0,3
A00103,-0.8643414943912118,51.32505917258874,residential,230779.0,2308.0,230779.48244670057,masonry,1,2
A00104,-1.1371866751826083,51.374281383118245,commercial,450524.0,4505.0,450523.68219846307,steel_frame,0,4
A00105,-0.9202586332119918,51.56612171423898,residential,326476.0,3265.0,326476.17410191154,wood_frame,0,2
A00106,-1.0666163162337816,51.60786985307983,commercial,899443.0,8994.0,899442.8929137443,steel_frame,0,1
A00107,-0.9399751633147363,51.29429263103353,residential,239921.0,2399.0,239920.81769274405,masonry,1,1
A00108,-0.9229890276870781,51.22433609682054,industrial,1753209.0,17532.0,1753208.863952356,steel_frame,1,2
A00109,-0.9360870620277651,51.61419887814911,industrial,1611232.0,16112.0,1611232.360058073,steel_frame,0,1
A00110,-1.0349373780427573,51.572439533903,residential,198162.0,1982.0,198162.32954952444,wood_frame,1,1
A00111,-0.9493103878133033,51.46911349889596,industrial,2934071.0,29341.0,2934070.7314385786,steel_frame,0,1
A00112,-1.0817453556484367,51.55493623875349,residential,215326.0,2153.0,215325.5072005866,wood_frame,0,1
A00113,-1.1126041450913773,51.463646605937356,residential,346545.0,3465.0,346544.9359538466,concrete,1,2
A00114,-0.9354890990274588,51.59097302748487,residential,461243.0,4612.0,461243.0587041968,masonry,0,1
A00115,-0.981757117192265,51.31977166590229,residential,203437.0,2034.0,203436.97049840004,concrete,0,2
A00116,-1.1708231975322565,51.40209388783317,commercial,929662.0,9297.0,929661.5904135114,wood_frame,0,1
A00117,-1.0391097319314186,51.49493687835399,industrial,1142541.0,11425.0,1142540.9209512952,concrete,0,1
A00118,-0.9663122189413136,51.30840861434788,residential,355398.0,3554.0,355397.75886965025,concrete,1,2
A00119,-0.7953293554376801,51.513075534255265,commercial,805634.0,8056.0,805634.1270491023,masonry,1,3
A00120,-0.8777645673631207,51.327573296352774,residential,173307.0,1733.0,173307.1902270314,masonry,1,1
A00121,-0.8710848853553051,51.51110895311038,residential,388460.0,3885.0,388460.3585265614,wood_frame,1,1
A00122,-1.1403460982671825,51.54972858513304,commercial,1224019.0,12240.0,1224019.036775246,steel_frame,0,4
A00123,-1.0202451518636402,51.39391264246973,residential,185982.0,1860.0,185982.14235019084,masonry,1,1
A00124,-0.9613252129717038,51.625945651369406,residential,371513.0,3715.0,371513.24676442984,wood_frame,1,1
A00125,-0.9223867608316125,51.478860872126596,residential,267101.0,2671.0,267100.532405597,wood_frame,1,1
A00126,-0.9116122294031943,51.53019888114392,residential,619651.0,6197.0,619650.6219360324,masonry,1,2
A00127,-0.9845499979941558,51.22844398972692,commercial,1597384.0,15974.0,1597383.7990557111,wood_frame,0,3
A00128,-0.7752165299663429,51.266252766733984,residential,207876.0,2079.0,207876.05618479726,masonry,1,2
A00129,-0.8033052753344948,51.51170957448797,residential,228667.0,2287.0,228666.9568557985,wood_frame,0,1
A00130,-1.0104796309369972,51.606677342730954,residential,186658.0,1867.0,186657.58166790075,wood_frame,0,1
A00131,-1.0604692493014878,51.47757384827449,commercial,941624.0,9416.0,941623.7754961158,concrete,0,3
A00132,-0.7880959807779337,51.59426591849146,residential,254148.0,2541.0,254147.65481366802,steel_frame,1,3
A00133,-1.0092523559851305,51.24426192046786,industrial,1919234.0,19192.0,1919234.2797095883,concrete,1,1
A00134,-0.8675942840112627,51.58557634362782,residential,257476.0,2575.0,257476.41525374883,masonry,0,2
A00135,-0.7920066276897162,51.57969893617829,commercial,550932.0,5509.0,550931.8663472969,steel_frame,0,3
A00136,-1.0566936167724603,51.47783583356121,residential,190751.0,1908.0,190751.32782143808,wood_frame,1,1
A00137,-0.9812607972467186,51.39608398657318,residential,401126.0,4011.0,401126.2396684029,steel_frame,1,1
A00138,-0.9858411459144405,51.50902865567258,residential,367845.0,3678.0,367844.85633451416,wood_frame,0,2
A00139,-0.9251443617940253,51.320006035943095,residential,236955.0,2370.0,236954.88855174283,wood_frame,0,2
A00140,-0.9226433463931282,51.49373491158626,residential,238989.0,2390.0,238988.52078020535,wood_frame,0,1
A00141,-0.76,51.504646250814275,residential,236395.0,2364.0,236394.76929995752,steel_frame,0,2
A00142,-0.9292465546776166,51.44135997759458,residential,251966.0,2520.0,251965.5710566113,masonry,1,2
A00143,-0.9824470458820577,51.32663067150143,residential,142751.0,1428.0,142751.3383837629,steel_frame,0,1
A00144,-0.8533421092211272,51.22086383904003,residential,337192.0,3372.0,337192.4846772381,wood_frame,0,1
A00145,-0.9902471591281268,51.300269078314074,residential,200717.0,2007.0,200716.6488162419,concrete,1,2
A00146,-1.006286379909225,51.56184796898789,residential,262628.0,2626.0,262627.80295350886,wood_frame,1,3
A00147,-0.76,51.30703250288735,industrial,644880.0,6449.0,644880.3250879016,steel_frame,1,2
A00148,-1.0343581503251753,51.250475682966155,commercial,973374.0,9734.0,973374.4140835693,masonry,1,1
A00149,-1.0263390667925507,51.32112022392032,residential,390976.0,3910.0,390976.08117314364,steel_frame,0,1
A00150,-0.9898245433001893,51.43286084655117,residential,118491.0,1185.0,118490.61554973728,wood_frame,1,3
A00151,-1.07980594362211,51.46037224355197,industrial,2492100.0,24921.0,2492100.013789803,masonry,1,3
A00152,-1.19,51.579630341797866,residential,292777.0,2928.0,292777.25933908665,wood_frame,0,1
A00153,-0.8704314696446224,51.57045010012349,residential,195710.0,1957.0,195709.76156952683,masonry,1,1
A00154,-1.0846486746284292,51.61718340129223,residential,147199.0,1472.0,147199.16266449005,wood_frame,1,2
A00155,-1.0391345124215094,51.58254996999147,residential,368733.0,3687.0,368732.8730468731,wood_frame,1,2
A00156,-1.0457014496856187,51.404605616338664,residential,272796.0,2728.0,272795.88502084004,masonry,1,1
A00157,-1.0511928649601654,51.278170377432005,commercial,1097333.0,10973.0,1097333.238016898,masonry,0,2
A00158,-1.1112376862514897,51.611869963226965,residential,228329.0,2283.0,228328.96033069887,masonry,0,3
A00159,-0.956024846980612,51.31379250210664,industrial,1149316.0,11493.0,1149315.8926719695,steel_frame,1,1
A00160,-0.76,51.47506907238342,residential,334426.0,3344.0,334425.69366362324,wood_frame,0,1
A00161,-0.9093165490083623,51.328431350031295,residential,181712.0,1817.0,181711.81546154682,steel_frame,1,1
A00162,-0.8904557262846754,51.55489822637685,residential,337889.0,3379.0,337889.2768243799,wood_frame,1,1
A00163,-1.1148861134397192,51.302317372599674,residential,143019.0,1430.0,143019.4321523084,masonry,1,2
A00164,-1.0131444501605742,51.39252166399943,commercial,660580.0,6606.0,660579.9350376845,concrete,1,2
A00165,-1.0878151324365009,51.310076966374844,residential,153867.0,1539.0,153866.7995108117,concrete,0,2
A00166,-0.9005569572056533,51.57283194192978,residential,387375.0,3874.0,387374.92093886324,wood_frame,1,1
A00167,-0.9876048125432868,51.473963378700454,residential,139223.0,1392.0,139223.40448800882,wood_frame,1,2
A00168,-0.9581418801927357,51.47863662979713,residential,170806.0,1708.0,170805.81522948173,masonry,0,1
A00169,-1.006231135013456,51.34894389377212,residential,311781.0,3118.0,311781.39389526856,wood_frame,1,3
A00170,-1.0170533058424156,51.29236161771351,residential,269905.0,2699.0,269905.3360603732,concrete,0,2
A00171,-1.1289279045114953,51.571508362742584,commercial,1873571.0,18736.0,1873571.1600591554,masonry,0,2
A00172,-0.8963652008481995,51.53348606022657,residential,462801.0,4628.0,462800.78166679625,wood_frame,0,3
A00173,-1.0896436614243716,51.521122608279065,residential,307342.0,3073.0,307341.72605839005,concrete,1,1
A00174,-1.127835187828733,51.62882691708696,residential,314903.0,3149.0,314903.2397999473,steel_frame,1,1
A00175,-1.0120969560541129,51.44940834807122,commercial,488722.0,4887.0,488722.48491181317,concrete,0,2
A00176,-1.029747458426144,51.293208286040446,residential,186138.0,1861.0,186138.1931496639,wood_frame,1,1
A00177,-0.9412844924336486,51.46991171890917,residential,223986.0,2240.0,223986.2594226285,masonry,1,1
A00178,-0.8888096197301074,51.33779168540737,industrial,1413409.0,14134.0,1413409.3963812527,concrete,0,1
A00179,-0.9710628442738183,51.43030501305061,industrial,946682.0,9467.0,946682.4562275639,steel_frame,0,1
A00180,-0.9875777577511183,51.408322562714126,residential,183059.0,1831.0,183059.42239493586,masonry,1,1
A00181,-0.9787779814845214,51.45104628482464,commercial,677818.0,6778.0,677818.278261366,steel_frame,0,2
A00182,-0.9099846859504046,51.59776425702842,residential,356736.0,3567.0,356735.937831759,wood_frame,0,2
A00183,-1.1480460037043436,51.55218232469463,industrial,1729579.0,17296.0,1729578.5867572392,steel_frame,0,1
A00184,-0.9741581092213553,51.39021131743466,residential,223698.0,2237.0,223697.69120389258,wood_frame,1,2
A00185,-1.05857558159133,51.555106401233594,residential,227950.0,2279.0,227949.98799285947,concrete,0,1
A00186,-1.1010640294036231,51.57281402788489,commercial,992105.0,9921.0,992105.213472551,concrete,0,1
A00187,-0.9553112018719563,51.53733066348466,residential,197918.0,1979.0,197918.38625973221,masonry,1,1
A00188,-1.0235620099098526,51.44606932166546,industrial,1373271.0,13733.0,1373270.9438101102,concrete,1,3
A00189,-0.931252428957593,51.588731579057416,residential,140481.0,1405.0,140481.1271211019,masonry,1,1
A00190,-0.891066568793794,51.42170397161851,commercial,1126090.0,11261.0,1126089.9072134912,masonry,0,2
A00191,-1.1834692254204082,51.26344169587007,residential,344852.0,3449.0,344851.87103411165,concrete,0,1
A00192,-0.9925482836102553,51.331571202811475,residential,282202.0,2822.0,282201.9910501708,steel_frame,0,1
A00193,-0.7605528846608983,51.48958031866888,residential,293306.0,2933.0,293305.6229231763,concrete,1,2
A00194,-0.9225584421942381,51.37544182573139,commercial,1016934.0,10169.0,1016934.0815766299,masonry,0,2
A00195,-0.8660398358342903,51.39335596114979,residential,495086.0,4951.0,495086.1661441302,concrete,1,2
A00196,-1.0005997782795457,51.3849056425985,commercial,963354.0,9634.0,963353.6153225322,steel_frame,0,3
A00197,-1.1057232594819668,51.29873500560544,industrial,963117.0,9631.0,963117.2368363582,steel_frame,1,1
A00198,-1.0635823239913613,51.25834813374062,residential,175955.0,1760.0,175954.6767760336,wood_frame,0,1
A00199,-0.8844331610951838,51.24012314020156,residential,317209.0,3172.0,317208.77169743733,masonry,0,1
A00200,-0.858138836850336,51.495728066635046,residential,357238.0,3572.0,357237.8671151754,masonry,0,2
A00201,-1.0729247950474936,51.35288510367403,commercial,1164727.0,11647.0,1164726.9189668954,concrete,1,2
A00202,-1.0344668572278717,51.407311565841425,commercial,1192040.0,11920.0,1192040.2505607202,masonry,0,3
A00203,-0.9731569864123971,51.60342926768415,residential,266039.0,2660.0,266039.08723434166,masonry,1,2
A00204,-1.1379910107859676,51.47693273250531,commercial,546414.0,5464.0,546413.8134864365,steel_frame,1,2
A00205,-0.9985712804696322,51.55236816361485,residential,197056.0,1971.0,197056.12024997486,wood_frame,1,2
A00206,-0.7921894805827334,51.532554890005976,residential,136255.0,1363.0,136254.5801332875,wood_frame,0,1
A00207,-0.7848835056990494,51.611021188573076,industrial,1316742.0,13167.0,1316742.156514735,wood_frame,0,1
A00208,-0.9639193291012238,51.24739643852222,residential,158216.0,1582.0,158215.56133251413,concrete,1,1
A00209,-0.8266052671939487,51.37749814310441,residential,258030.0,2580.0,258029.76776445142,concrete,0,3
A00210,-1.0550915882426137,51.60934089529019,residential,235950.0,2359.0,235949.91612291738,masonry,0,2
A00211,-1.087517235005948,51.41041765627469,commercial,467878.0,4679.0,467877.9042398515,masonry,1,4
A00212,-1.19,51.60859803871715,industrial,1915814.0,19158.0,1915814.0934006972,steel_frame,1,1
A00213,-0.8648078917456115,51.29579316494872,residential,322314.0,3223.0,322313.5304150392,masonry,0,1
A00214,-0.9913140120466661,51.24470073479382,residential,156626.0,1566.0,156626.26999741636,masonry,0,1
A00215,-0.76,51.58714118833584,residential,262080.0,2621.0,262080.3626965311,masonry,0,2
A00216,-0.9777072747300009,51.388613774038035,commercial,1143277.0,11433.0,1143276.6119158224,masonry,0,1
A00217,-0.9782753573910221,51.42839281086436,residential,226428.0,2264.0,226428.25113792685,concrete,0,1
A00218,-1.1801402197533046,51.60387304452569,commercial,1197649.0,11976.0,1197648.520624263,steel_frame,0,2
A00219,-0.8193468619781445,51.30996603805261,industrial,1595319.0,15953.0,1595319.3771821407,steel_frame,1,1
A00220,-1.042338608956663,51.61696079067796,residential,357787.0,3578.0,357787.29585953464,wood_frame,0,2
A00221,-1.0265922648565122,51.382585510038936,residential,265553.0,2656.0,265552.84963516647,concrete,0,2
A00222,-1.19,51.321441500957654,industrial,1416011.0,14160.0,1416011.1794015593,steel_frame,1,1
A00223,-0.8808524083023785,51.3158187242911,residential,296155.0,2962.0,296155.13637363317,masonry,1,1
A00224,-0.8954692465159368,51.43256401622451,residential,324502.0,3245.0,324502.4092489957,masonry,1,3
A00225,-1.0665491517306653,51.41145607597193,commercial,976203.0,9762.0,976203.2306133214,concrete,1,1
A00226,-0.9761728783146673,51.58330118144228,residential,214384.0,2144.0,214384.00501093498,wood_frame,1,2
A00227,-0.9159084619349814,51.24082886438808,residential,191144.0,1911.0,191143.5671673924,wood_frame,1,1
A00228,-0.8600116207899112,51.238030086679096,residential,219828.0,2198.0,219827.7429125652,wood_frame,0,2
A00229,-0.9438619100413451,51.28264175408515,residential,205504.0,2055.0,205503.53424487004,masonry,1,2
A00230,-0.7960548368744167,51.468322393353475,residential,266934.0,2669.0,266934.13585712225,wood_frame,1,1
A00231,-0.9811316414272612,51.54035128874332,commercial,949465.0,9495.0,949465.3739033364,masonry,0,1
A00232,-1.0641355569281055,51.41673587810501,residential,242032.0,2420.0,242031.65494722166,steel_frame,0,2
A00233,-1.0127483583980557,51.47163978267956,commercial,895812.0,8958.0,895811.751418795,steel_frame,0,4
A00234,-1.19,51.48344686903451,residential,263833.0,2638.0,263833.18950484885,wood_frame,0,1
A00235,-1.0420502562453053,51.227910955405946,commercial,1518419.0,15184.0,1518419.3593748088,steel_frame,0,2
A00236,-0.876415029180127,51.320973345519405,residential,373348.0,3733.0,373348.34079375974,wood_frame,1,1
A00237,-0.9830418073212436,51.62908081771256,residential,204980.0,2050.0,204979.83405073918,wood_frame,0,2
A00238,-1.0828813068084961,51.355622947268095,residential,286879.0,2869.0,286879.4155779266,wood_frame,0,1
A00239,-0.9666396726445986,51.608117075378,residential,222779.0,2228.0,222778.53780208284,wood_frame,1,1
A00240,-1.19,51.42183321008702,residential,240812.0,2408.0,240812.02612754167,steel_frame,0,1
A00241,-0.9984213065941727,51.3112481322687,residential,229184.0,2292.0,229184.110783753,concrete,0,1
A00242,-0.9129773000637073,51.22099024369572,residential,201555.0,2016.0,201554.5700179714,masonry,1,2
A00243,-0.8986842894610397,51.309195695166835,industrial,943516.0,9435.0,943515.8078583489,masonry,1,1
A00244,-1.076186203962205,51.35181626292864,residential,108484.0,1085.0,108484.37914897944,steel_frame,0,2
A00245,-0.9179215475256893,51.400113997000624,residential,266097.0,2661.0,266096.8176728767,wood_frame,1,1
A00246,-0.821443063328077,51.40334037108109,commercial,1333794.0,13338.0,1333794.3373824484,concrete,0,1
A00247,-1.027979984828551,51.444821266217055,residential,183212.0,1832.0,183212.15438354245,wood_frame,1,1
A00248,-0.9302544140785748,51.414400950562666,residential,294884.0,2949.0,294884.4718157117,steel_frame,0,3
A00249,-1.1138952710314598,51.23347416309545,residential,218243.0,2182.0,218243.25248473306,masonry,1,2
A00250,-1.179453658930649,51.32945655792516,residential,273140.0,2731.0,273140.45938755525,masonry,1,1
A00251,-0.943274616813145,51.61442779710655,industrial,1136132.0,11361.0,1136132.1790863401,concrete,0,1
A00252,-0.9549335474771672,51.23124011379261,residential,229859.0,2299.0,229858.66029629039,steel_frame,0,1
A00253,-0.9307876692599051,51.52096393801373,commercial,861861.0,8619.0,861861.3530149019,concrete,1,2
A00254,-1.0621352885057032,51.41531276286614,residential,111382.0,1114.0,111382.30572264318,wood_frame,1,1
A00255,-0.9798545356113157,51.5098383242282,commercial,961922.0,9619.0,961922.288434822,wood_frame,0,3
A00256,-0.9199988405840006,51.35632558146063,commercial,853772.0,8538.0,853772.114189917,masonry,0,2
A00257,-0.8358412151391281,51.37175656679841,residential,107509.0,1075.0,107508.59008286327,masonry,1,1
A00258,-1.015926735943238,51.431879756122534,residential,309252.0,3093.0,309252.3836284701,masonry,1,1
A00259,-1.1569841491193058,51.59295994382035,commercial,883904.0,8839.0,883904.1703161836,masonry,0,4
A00260,-0.8726317464361409,51.354639221326046,residential,266038.0,2660.0,266037.61337419465,wood_frame,1,1
A00261,-0.890468699602189,51.25520416902958,industrial,1682816.0,16828.0,1682816.0748398798,concrete,0,1
A00262,-0.8886225626558054,51.235685226709826,residential,215669.0,2157.0,215669.26614602865,steel_frame,1,4
A00263,-0.9652888935663791,51.581442913721226,residential,172589.0,1726.0,172589.3356583019,steel_frame,0,2
A00264,-0.7640726270587468,51.348631630970786,residential,213525.0,2135.0,213525.34529824837,wood_frame,1,1
A00265,-0.9429476630619255,51.26900556157402,residential,214795.0,2148.0,214794.60119447476,masonry,0,1
